t_id	region	chrom	transcript_start	transcript_end	transcript_lenght	exons	base_pairs	diff_region_intersecting_t_id	diff_region_intersecting_exons	diff_region_intersecting_bps	diff_region_ratio	region_transcript_start	diff_region_transcript_end	diff_region_trans_len	diff_region_trans_overlap	same_region_intersecting_t_id	same_region_intersecting_exons	same_region_intersecting_bps	same_region_ratio	same_region_transcript_start	same_region_transcript_end	same_region_trans_len	same_region_trans_overlap
T30C_TCONS_00003788	T30C	groupI	9742501	9748476	5975	3	635	D30C_TCONS_00003755	3	633	0.9968503937007874015748031496	9742503	9748905	6402	5973		0	0	0				0
D30C_TCONS_00060978	D30C	groupXV	9653944	9657563	3619	12	2222	T30C_TCONS_00062021	12	1856	0.8352835283528352835283528353	9654470	9657563	3093	3093		0	0	0				0
D30C_TCONS_00056812	D30C	groupXIX	9279839	9282337	2498	4	1553	T30C_TCONS_00057652	4	1553	1	9279839	9282337	2498	2498		0	0	0				0
D30C_TCONS_00016880	D30C	groupIV	12187236	12193596	6360	7	2878	T30C_TCONS_00017074	7	2878	1	12187236	12193689	6453	6360		0	0	0				0
T30C_TCONS_00075666	T30C	groupXX	19668959	19684928	15969	20	2537	D30C_TCONS_00074400	6	763	0.3007489160425699645250295625	19683033	19684931	1898	1895		0	0	0				0
D30C_TCONS_00029403	D30C	groupVII	3167845	3169324	1479	3	769		0	0	0				0		0	0	0				0
D30C_TCONS_00055364	D30C	groupXIV	9309918	9312027	2109	4	622	T30C_TCONS_00056199	4	622	1	9309917	9312035	2118	2109		0	0	0				0
D30C_TCONS_00080341	D30C	scaffold_133	224613	225540	927	5	424	T30C_TCONS_00081903	5	423	0.9976415094339622641509433962	224613	225539	926	926		0	0	0				0
D30C_TCONS_00072555	D30C	groupXX	433351	436257	2906	7	1585	T30C_TCONS_00073788	7	1552	0.9791798107255520504731861199	433384	436272	2888	2873		0	0	0				0
D30C_TCONS_00021053	D30C	groupIX	3005306	3006780	1474	4	748	T30C_TCONS_00021306	4	748	1	3005209	3006898	1689	1474		0	0	0				0
D30C_TCONS_00032324	D30C	groupVII	4173455	4176280	2825	4	597	T30C_TCONS_00032625	4	595	0.9966499162479061976549413735	4173449	4176278	2829	2823		0	0	0				0
T30C_TCONS_00029208	T30C	groupVI	16534769	16538389	3620	7	1942	D30C_TCONS_00028895	8	1862	0.9588053553038105046343975283	16534693	16538393	3700	3620		0	0	0				0
D30C_TCONS_00062031	D30C	groupXV	2843891	2855591	11700	13	3879	T30C_TCONS_00063102	8	3221	0.8303686517143593709718999742	2843891	2850141	6250	6250		0	0	0				0
T30C_TCONS_00068383	T30C	groupXVII	7791593	7793029	1436	3	983	D30C_TCONS_00067273	3	983	1	7791593	7793029	1436	1436		0	0	0				0
T30C_TCONS_00006521	T30C	groupII	13336352	13343826	7474	9	1361	D30C_TCONS_00006442	9	1283	0.9426891991182953710506980162	13336430	13343826	7396	7396		0	0	0				0
D30C_TCONS_00085840	D30C	scaffold_422	1894	3999	2105	7	518	T30C_TCONS_00087621	7	515	0.9942084942084942084942084942	1885	3996	2111	2102		0	0	0				0
T30C_TCONS_00067451	T30C	groupXVI	17803676	17807282	3606	3	997	D30C_TCONS_00066382	3	997	1	17803676	17807282	3606	3606		0	0	0				0
D30C_TCONS_00021906	D30C	groupIX	12121280	12125681	4401	4	3770	T30C_TCONS_00022149	4	3770	1	12121181	12125867	4686	4401		0	0	0				0
T30C_TCONS_00054460	T30C	groupXIV	7316140	7318144	2004	4	931	D30C_TCONS_00053650	4	931	1	7315949	7318150	2201	2004		0	0	0				0
T30C_TCONS_00065726	T30C	groupXVI	16545202	16550326	5124	8	1546	D30C_TCONS_00064653	8	1546	1	16544435	16550326	5891	5124		0	0	0				0
D30C_TCONS_00013199	D30C	groupIV	4172493	4175205	2712	5	1183	T30C_TCONS_00013308	5	1181	0.9983093829247675401521555368	4172495	4175207	2712	2710		0	0	0				0
D30C_TCONS_00022448	D30C	groupIX	16468986	16488022	19036	6	3805	T30C_TCONS_00022680	6	3805	1	16468977	16488037	19060	19036		0	0	0				0
T30C_TCONS_00087605	T30C	scaffold_416	8869	11392	2523	4	984	D30C_TCONS_00085825	5	649	0.6595528455284552845528455285	8869	11433	2564	2523		0	0	0				0
T30C_TCONS_00007738	T30C	groupII	4488680	4493457	4777	6	1456	D30C_TCONS_00007613	6	1425	0.9787087912087912087912087912	4487352	4493426	6074	4746		0	0	0				0
D30C_TCONS_00052863	D30C	groupXIV	259708	261116	1408	2	539		0	0	0				0		0	0	0				0
T30C_TCONS_00006852	T30C	groupII	18257738	18276958	19220	19	5817	D30C_TCONS_00006774	18	5761	0.9903730445246690734055354994	18256749	18276958	20209	19220	T30C_TCONS_00006851	18	5761	0.9903730445246690734055354994	18256751	18276958	20207	19220
T30C_TCONS_00006851	T30C	groupII	18256751	18276958	20207	20	6006	D30C_TCONS_00006774	20	6006	1	18256749	18276958	20209	20207	T30C_TCONS_00006852	18	5761	0.9592074592074592074592074592	18257738	18276958	19220	19220
T30C_TCONS_00006850	T30C	groupII	18251378	18276958	25580	18	5785	D30C_TCONS_00006774	17	5714	0.9877268798617113223854796889	18256749	18276958	20209	20209	T30C_TCONS_00006851	17	5714	0.9877268798617113223854796889	18256751	18276958	20207	20207
D30C_TCONS_00006774	D30C	groupII	18256749	18276958	20209	19	6091	T30C_TCONS_00006851	20	6006	0.9860449844032178624199638811	18256751	18276958	20207	20207	D30C_TCONS_00006775	18	5908	0.9699556723033984567394516500	18256750	18276958	20208	20208
D30C_TCONS_00006775	D30C	groupII	18256750	18276958	20208	18	5908	T30C_TCONS_00006851	19	5824	0.9857819905213270142180094787	18256751	18276958	20207	20207	D30C_TCONS_00006774	18	5908	1	18256749	18276958	20209	20208
T30C_TCONS_00032568	T30C	groupVII	3802990	3851828	48838	15	2122		0	0	0				0		0	0	0				0
T30C_TCONS_00077253	T30C	groupXX	13020460	13021558	1098	2	981	D30C_TCONS_00075843	2	975	0.9938837920489296636085626911	13020464	13021556	1092	1092		0	0	0				0
D30C_TCONS_00000266	D30C	groupI	1541773	1544323	2550	5	1136	T30C_TCONS_00000268	5	1126	0.9911971830985915492957746479	1541768	1544313	2545	2540		0	0	0				0
T30C_TCONS_00077256	T30C	groupXX	13025668	13027737	2069	5	1259	D30C_TCONS_00075846	4	1164	0.9245432883240667196187450357	13025724	13028654	2930	2013		0	0	0				0
T30C_TCONS_00063444	T30C	groupXV	5941587	5950690	9103	5	5950	D30C_TCONS_00062363	6	5716	0.9606722689075630252100840336	5941736	5950690	8954	8954		0	0	0				0
T30C_TCONS_00056199	T30C	groupXIV	9309917	9312035	2118	4	631	D30C_TCONS_00055364	4	622	0.9857369255150554675118858954	9309918	9312027	2109	2109		0	0	0				0
T30C_TCONS_00081903	T30C	scaffold_133	224613	225539	926	5	423	D30C_TCONS_00080341	5	423	1	224613	225540	927	926		0	0	0				0
D30C_TCONS_00000347	D30C	groupI	2182284	2183345	1061	3	834	T30C_TCONS_00000354	3	724	0.8681055155875299760191846523	2182136	2183235	1099	951		0	0	0				0
D30C_TCONS_00012485	D30C	groupIII	13891205	13894148	2943	3	371	T30C_TCONS_00012584	3	369	0.9946091644204851752021563342	13891205	13894146	2941	2941		0	0	0				0
D30C_TCONS_00043108	D30C	groupXI	15006469	15009313	2844	11	790	T30C_TCONS_00043675	3	363	0.4594936708860759493670886076	15006888	15007884	996	996		0	0	0				0
D30C_TCONS_00019219	D30C	groupIX	6185974	6204151	18177	10	1732	T30C_TCONS_00019437	10	1732	1	6185862	6204612	18750	18177	D30C_TCONS_00019217	9	1607	0.9278290993071593533487297921	6153110	6204151	51041	18177
T30C_TCONS_00028268	T30C	groupVI	6094160	6096694	2534	2	1177	D30C_TCONS_00027969	2	1063	0.9031435853865760407816482583	6094154	6096580	2426	2420		0	0	0				0
D30C_TCONS_00033204	D30C	groupVII	16085379	16090570	5191	2	4444	T30C_TCONS_00033552	2	3190	0.7178217821782178217821782178	16086627	16090567	3940	3940		0	0	0				0
T30C_TCONS_00014069	T30C	groupIV	12104503	12106476	1973	4	1220	D30C_TCONS_00013949	4	1208	0.9901639344262295081967213115	12104508	12106469	1961	1961		0	0	0				0
D30C_TCONS_00084071	D30C	scaffold_27	378226	402489	24263	5	5206	T30C_TCONS_00085759	5	5202	0.9992316557817902420284287361	377199	402485	25286	24259		0	0	0				0
D30C_TCONS_00025391	D30C	groupV	10124036	10134044	10008	2	2481		0	0	0				0		0	0	0				0
D30C_TCONS_00019217	D30C	groupIX	6153110	6204151	51041	10	1697	T30C_TCONS_00019435	10	1694	0.9982321744254566882734236889	6153113	6204612	51499	51038	D30C_TCONS_00019219	9	1607	0.9469652327637006482027106659	6185974	6204151	18177	18177
D30C_TCONS_00080346	D30C	scaffold_133	250901	257421	6520	16	2268	T30C_TCONS_00081908	17	2137	0.9422398589065255731922398589	250936	257415	6479	6479		0	0	0				0
D30C_TCONS_00053111	D30C	groupXIV	2152891	2160731	7840	2	5274	T30C_TCONS_00053886	2	5274	1	2152864	2161529	8665	7840		0	0	0				0
D30C_TCONS_00026875	D30C	groupVI	10406869	10409919	3050	3	2809	T30C_TCONS_00027105	3	2722	0.9690281238875044499822000712	10406947	10409910	2963	2963		0	0	0				0
T30C_TCONS_00054227	T30C	groupXIV	5846025	5852002	5977	3	1520	D30C_TCONS_00053447	3	1464	0.9631578947368421052631578947	5846081	5852007	5926	5921		0	0	0				0
D30C_TCONS_00031683	D30C	groupVII	27665134	27665720	586	2	477	T30C_TCONS_00031976	2	477	1	27665134	27665720	586	586		0	0	0				0
T30C_TCONS_00022357	T30C	groupIX	14298682	14304835	6153	10	2693	D30C_TCONS_00022119	10	2693	1	14298682	14304840	6158	6153		0	0	0				0
T30C_TCONS_00027828	T30C	groupVI	648386	662117	13731	3	1201		0	0	0				0		0	0	0				0
T30C_TCONS_00022351	T30C	groupIX	14281966	14284559	2593	1	2593	D30C_TCONS_00022116	1	2580	0.9949865021210952564596991901	14281341	14285800	4459	2593		0	0	0				0
D30C_TCONS_00077743	D30C	groupXXI	4353902	4356165	2263	2	395	T30C_TCONS_00079212	2	395	1	4353456	4356167	2711	2263		0	0	0				0
D30C_TCONS_00060357	D30C	groupXV	2839132	2840610	1478	2	1399	T30C_TCONS_00061372	2	1399	1	2838596	2840698	2102	1478	D30C_TCONS_00060356	2	1399	1	2838596	2840610	2014	1478
D30C_TCONS_00050330	D30C	groupXIII	14785202	14788915	3713	3	2360	T30C_TCONS_00051050	3	2360	1	14785202	14788915	3713	3713		0	0	0				0
T30C_TCONS_00003655	T30C	groupI	8577264	8586283	9019	11	1902	D30C_TCONS_00003622	10	1813	0.9532071503680336487907465825	8577263	8586490	9227	9019		0	0	0				0
T30C_TCONS_00068303	T30C	groupXVII	7210663	7228180	17517	4	1017		0	0	0				0		0	0	0				0
T30C_TCONS_00068301	T30C	groupXVII	7192624	7194422	1798	2	1664	D30C_TCONS_00067205	2	1664	1	7192623	7194473	1850	1798		0	0	0				0
T30C_TCONS_00091444	T30C	scaffold_95	325419	332524	7105	3	6084	D30C_TCONS_00089453	3	6084	1	325286	332524	7238	7105		0	0	0				0
T30C_TCONS_00077457	T30C	groupXX	14711027	14714052	3025	5	949	D30C_TCONS_00076037	5	787	0.8292939936775553213909378293	14711050	14713913	2863	2863		0	0	0				0
D30C_TCONS_00052670	D30C	groupXIII	18945449	18955144	9695	5	1120		0	0	0				0		0	0	0				0
D30C_TCONS_00017308	D30C	groupIV	17713547	17716422	2875	7	836	T30C_TCONS_00017504	7	773	0.9246411483253588516746411483	17713528	17716671	3143	2875		0	0	0				0
T30C_TCONS_00009748	T30C	groupIII	4213970	4215527	1557	1	1557	D30C_TCONS_00009621	1	1523	0.9781631342324983943481053308	4213970	4215493	1523	1523		0	0	0				0
D30C_TCONS_00053447	D30C	groupXIV	5846081	5852007	5926	3	1469	T30C_TCONS_00054227	3	1464	0.9965963240299523485364193329	5846025	5852002	5977	5921		0	0	0				0
D30C_TCONS_00034296	D30C	groupVII	26923037	26925963	2926	2	1353	T30C_TCONS_00034629	2	1342	0.9918699186991869918699186992	26923047	26928225	5178	2916		0	0	0				0
D30C_TCONS_00018160	D30C	groupIV	27672597	27702966	30369	8	4354	T30C_TCONS_00018370	7	1339	0.3075333027101515847496554892	27674814	27695230	20416	20416		0	0	0				0
T30C_TCONS_00031264	T30C	groupVII	20310293	20318076	7783	6	1957	D30C_TCONS_00030944	6	1850	0.9453244762391415431783341850	20310400	20318409	8009	7676		0	0	0				0
T30C_TCONS_00088921	T30C	scaffold_56	339409	340263	854	1	854	D30C_TCONS_00087089	1	851	0.9964871194379391100702576112	339412	340267	855	851		0	0	0				0
D30C_TCONS_00030234	D30C	groupVII	14581746	14583652	1906	2	196	T30C_TCONS_00030543	2	196	1	14581746	14583653	1907	1906		0	0	0				0
D30C_TCONS_00038099	D30C	groupVIII	19091995	19095436	3441	9	1649		0	0	0				0		0	0	0				0
T30C_TCONS_00054121	T30C	groupXIV	4442324	4446706	4382	3	1570	D30C_TCONS_00053335	3	1550	0.9872611464968152866242038217	4442342	4446704	4362	4362		0	0	0				0
T30C_TCONS_00004992	T30C	groupI	23752772	23756789	4017	2	2173	D30C_TCONS_00004965	2	2173	1	23752772	23756871	4099	4017		0	0	0				0
T30C_TCONS_00046146	T30C	groupXII	615191	616357	1166	2	1070		0	0	0				0		0	0	0				0
T30C_TCONS_00059583	T30C	groupXIX	7315683	7318868	3185	4	1969	D30C_TCONS_00058582	4	1610	0.8176739461655662772981208735	7315979	7318805	2826	2826		0	0	0				0
D30C_TCONS_00001987	D30C	groupI	19952025	19953724	1699	3	1012	T30C_TCONS_00001975	3	985	0.9733201581027667984189723320	19951986	19953697	1711	1672		0	0	0				0
T30C_TCONS_00032081	T30C	groupVII	294240	297467	3227	9	1366	D30C_TCONS_00031772	9	1227	0.8982430453879941434846266471	294247	297335	3088	3088		0	0	0				0
T30C_TCONS_00072350	T30C	groupXVIII	5459883	5463384	3501	5	669	D30C_TCONS_00071184	5	669	1	5459883	5463384	3501	3501		0	0	0				0
T30C_TCONS_00042981	T30C	groupXI	8930693	8933561	2868	3	2247	D30C_TCONS_00042396	3	2247	1	8930501	8933561	3060	2868		0	0	0				0
T30C_TCONS_00057957	T30C	groupXIX	12591708	12593472	1764	4	617	D30C_TCONS_00057114	4	617	1	12591660	12593473	1813	1764		0	0	0				0
T30C_TCONS_00002701	T30C	groupI	27504237	27504897	660	3	505	D30C_TCONS_00002716	3	482	0.9544554455445544554455445545	27504260	27504900	640	637		0	0	0				0
T30C_TCONS_00029747	T30C	groupVII	4123845	4125335	1490	2	1047	D30C_TCONS_00029463	2	1035	0.9885386819484240687679083095	4123843	4125323	1480	1478		0	0	0				0
D30C_TCONS_00066592	D30C	groupXVII	1316349	1327498	11149	20	2807	T30C_TCONS_00067702	20	2807	1	1316287	1327498	11211	11149		0	0	0				0
T30C_TCONS_00020533	T30C	groupIX	17089738	17095542	5804	5	1913		0	0	0				0		0	0	0				0
T30C_TCONS_00081290	T30C	scaffold_1259	857	3668	2811	5	691	D30C_TCONS_00079702	4	458	0.6628075253256150506512301013	2325	3706	1381	1343		0	0	0				0
D30C_TCONS_00002943	D30C	groupI	821263	822283	1020	1	1020	T30C_TCONS_00002940	1	1020	1	821261	822303	1042	1020		0	0	0				0
D30C_TCONS_00043000	D30C	groupXI	13943135	13995211	52076	2	3461	T30C_TCONS_00043564	2	3461	1	13943007	13995323	52316	52076		0	0	0				0
T30C_TCONS_00086563	T30C	scaffold_279	25839	27106	1267	4	984	D30C_TCONS_00084884	4	984	1	25838	27106	1268	1267		0	0	0				0
T30C_TCONS_00062704	T30C	groupXV	109870	117614	7744	4	2330	D30C_TCONS_00061639	4	2326	0.9982832618025751072961373391	109869	117610	7741	7740		0	0	0				0
T30C_TCONS_00062707	T30C	groupXV	122691	125024	2333	5	705	D30C_TCONS_00061642	5	703	0.9971631205673758865248226950	122691	125022	2331	2331		0	0	0				0
D30C_TCONS_00003141	D30C	groupI	2723501	2734657	11156	16	1926	T30C_TCONS_00003157	16	1883	0.9776739356178608515057113188	2723499	2734614	11115	11113		0	0	0				0
T30C_TCONS_00063384	T30C	groupXV	5445630	5446663	1033	2	412	D30C_TCONS_00062313	2	412	1	5445630	5446677	1047	1033		0	0	0				0
D30C_TCONS_00017407	D30C	groupIV	18400348	18408693	8345	9	2449	T30C_TCONS_00017600	9	2445	0.9983666802776643527970600245	18400319	18408689	8370	8341		0	0	0				0
D30C_TCONS_00066171	D30C	groupXVI	16319234	16322455	3221	4	1833	T30C_TCONS_00067241	4	1833	1	16319234	16345296	26062	3221		0	0	0				0
T30C_TCONS_00001975	T30C	groupI	19951986	19953697	1711	3	1024	D30C_TCONS_00001987	3	985	0.9619140625	19952025	19953724	1699	1672		0	0	0				0
D30C_TCONS_00044160	D30C	groupXI	7105896	7108097	2201	4	1169	T30C_TCONS_00044754	4	1151	0.9846022241231822070145423439	7105913	7108096	2183	2183		0	0	0				0
T30C_TCONS_00039124	T30C	groupX	5249090	5251859	2769	3	1417	D30C_TCONS_00038586	3	1368	0.9654199011997177134791813691	5249138	5251858	2720	2720		0	0	0				0
D30C_TCONS_00071279	D30C	groupXVIII	6267914	6271244	3330	4	1730	T30C_TCONS_00072436	4	1730	1	6267912	6271303	3391	3330		0	0	0				0
T30C_TCONS_00022149	T30C	groupIX	12121181	12125867	4686	4	4055	D30C_TCONS_00021906	4	3770	0.9297163995067817509247842170	12121280	12125681	4401	4401		0	0	0				0
D30C_TCONS_00024633	D30C	groupV	3662608	3665279	2671	2	1775	T30C_TCONS_00024867	2	1774	0.9994366197183098591549295775	3662609	3665363	2754	2670		0	0	0				0
T30C_TCONS_00090333	T30C	scaffold_756	4808	5253	445	1	445	D30C_TCONS_00088398	1	445	1	4808	5253	445	445		0	0	0				0
T30C_TCONS_00054049	T30C	groupXIV	3796471	3843645	47174	7	2729	D30C_TCONS_00053270	7	2729	1	3796437	3843645	47208	47174	T30C_TCONS_00054050	7	2729	1	3796471	3843645	47174	47174
T30C_TCONS_00057217	T30C	groupXIX	6135916	6143964	8048	7	5609	D30C_TCONS_00056355	7	5550	0.9894811909431271171331788198	6131312	6143950	12638	8034		0	0	0				0
T30C_TCONS_00025930	T30C	groupV	11897461	11907856	10395	17	2253		0	0	0				0		0	0	0				0
T30C_TCONS_00061339	T30C	groupXV	2677380	2679569	2189	4	894	D30C_TCONS_00060329	4	642	0.7181208053691275167785234899	2677632	2679569	1937	1937		0	0	0				0
D30C_TCONS_00049373	D30C	groupXIII	3107472	3108556	1084	1	1084	T30C_TCONS_00050080	1	1084	1	3107454	3108556	1102	1084		0	0	0				0
D30C_TCONS_00020204	D30C	groupIX	16140034	16143395	3361	6	1437	T30C_TCONS_00020451	6	1437	1	16139993	16143396	3403	3361		0	0	0				0
T30C_TCONS_00001037	T30C	groupI	8965164	8974106	8942	8	3071	D30C_TCONS_00001015	7	406	0.1322044936502767828069032888	8965174	8971433	6259	6259		0	0	0				0
D30C_TCONS_00006157	D30C	groupII	9299188	9320969	21781	8	1969	T30C_TCONS_00006228	8	1969	1	9299188	9320969	21781	21781		0	0	0				0
D30C_TCONS_00061642	D30C	groupXV	122691	125022	2331	5	706	T30C_TCONS_00062707	5	703	0.9957507082152974504249291785	122691	125024	2333	2331		0	0	0				0
T30C_TCONS_00015540	T30C	groupIV	30394237	30409877	15640	4	4076	D30C_TCONS_00015409	4	4076	1	30394226	30410440	16214	15640		0	0	0				0
D30C_TCONS_00023172	D30C	groupV	2554352	2562653	8301	13	4472	T30C_TCONS_00023410	12	4322	0.9664579606440071556350626118	2555962	2562653	6691	6691		0	0	0				0
D30C_TCONS_00067205	D30C	groupXVII	7192623	7194473	1850	2	1716	T30C_TCONS_00068301	2	1664	0.9696969696969696969696969697	7192624	7194422	1798	1798		0	0	0				0
D30C_TCONS_00059707	D30C	groupXIX	17911578	17913759	2181	2	1249	T30C_TCONS_00060734	2	1247	0.9983987189751801441152922338	17911580	17913759	2179	2179		0	0	0				0
D30C_TCONS_00038163	D30C	groupX	86065	100419	14354	10	2565	T30C_TCONS_00038682	9	1348	0.5255360623781676413255360624	86115	96720	10605	10605		0	0	0				0
T30C_TCONS_00054711	T30C	groupXIV	9284910	9289308	4398	6	2569	D30C_TCONS_00053896	6	2545	0.9906578435188789412222654729	9284764	9289284	4520	4374		0	0	0				0
T30C_TCONS_00060895	T30C	groupXIX	19634291	19636145	1854	4	389	D30C_TCONS_00059860	3	366	0.9408740359897172236503856041	19634291	19635097	806	806		0	0	0				0
T30C_TCONS_00000316	T30C	groupI	2019282	2022248	2966	4	2234	D30C_TCONS_00000313	3	1463	0.6548791405550581915846016115	2020387	2022248	1861	1861		0	0	0				0
D30C_TCONS_00008300	D30C	groupII	12276413	12278436	2023	1	2023	T30C_TCONS_00008450	1	1895	0.9367276322293623331685615423	12276462	12278357	1895	1895		0	0	0				0
D30C_TCONS_00073152	D30C	groupXX	8080345	8083288	2943	1	2943		0	0	0				0		0	0	0				0
T30C_TCONS_00074550	T30C	groupXX	9257902	9260065	2163	8	1252	D30C_TCONS_00073303	8	1222	0.9760383386581469648562300319	9257932	9260309	2377	2133		0	0	0				0
D30C_TCONS_00072616	D30C	groupXX	673690	686098	12408	9	1864	T30C_TCONS_00073860	8	1504	0.8068669527896995708154506438	674543	686095	11552	11552		0	0	0				0
D30C_TCONS_00058868	D30C	groupXIX	9766605	9775468	8863	8	1364	T30C_TCONS_00059866	8	1252	0.9178885630498533724340175953	9766605	9775356	8751	8751		0	0	0				0
T30C_TCONS_00031733	T30C	groupVII	24946276	24957034	10758	4	712	D30C_TCONS_00031421	4	712	1	24946275	24957259	10984	10758		0	0	0				0
T30C_TCONS_00067747	T30C	groupXVII	1443834	1451958	8124	2	3837	D30C_TCONS_00066641	2	3837	1	1443833	1451969	8136	8124		0	0	0				0
D30C_TCONS_00086118	D30C	scaffold_47	758817	767323	8506	5	5933	T30C_TCONS_00087943	5	5881	0.9912354626664419349401651778	758869	767375	8506	8454		0	0	0				0
D30C_TCONS_00018789	D30C	groupIX	1762937	1769708	6771	7	4244	T30C_TCONS_00019019	7	4244	1	1762930	1769709	6779	6771		0	0	0				0
D30C_TCONS_00042994	D30C	groupXI	13777983	13781199	3216	9	1848		0	0	0				0		0	0	0				0
D30C_TCONS_00029523	D30C	groupVII	4580833	4586917	6084	14	2319	T30C_TCONS_00029813	14	2319	1	4580816	4586917	6101	6084		0	0	0				0
D30C_TCONS_00040216	D30C	groupX	6599918	6601301	1383	1	1383		0	0	0				0		0	0	0				0
D30C_TCONS_00051622	D30C	groupXIII	8071324	8071589	265	1	265		0	0	0				0		0	0	0				0
T30C_TCONS_00017724	T30C	groupIV	19862361	19863119	758	1	758	D30C_TCONS_00017546	1	608	0.8021108179419525065963060686	19862511	19863191	680	608		0	0	0				0
D30C_TCONS_00057114	D30C	groupXIX	12591660	12593473	1813	4	666	T30C_TCONS_00057957	4	617	0.9264264264264264264264264264	12591708	12593472	1764	1764		0	0	0				0
T30C_TCONS_00076485	T30C	groupXX	8715199	8719560	4361	6	2529	D30C_TCONS_00075161	6	2526	0.9988137603795966785290628707	8715202	8719562	4360	4358		0	0	0				0
D30C_TCONS_00000828	D30C	groupI	6921226	6921567	341	1	341		0	0	0				0		0	0	0				0
D30C_TCONS_00032567	D30C	groupVII	6686551	6710827	24276	23	1173	T30C_TCONS_00032887	23	1173	1	6686484	6710827	24343	24276		0	0	0				0
D30C_TCONS_00012706	D30C	groupIII	15856269	15858509	2240	5	1266	T30C_TCONS_00012823	5	1265	0.9992101105845181674565560821	15856270	15858523	2253	2239		0	0	0				0
D30C_TCONS_00048908	D30C	groupXII	17188742	17228625	39883	4	1531		0	0	0				0		0	0	0				0
T30C_TCONS_00038978	T30C	groupX	3373806	3375337	1531	2	1338	D30C_TCONS_00038455	2	1338	1	3373791	3375440	1649	1531		0	0	0				0
T30C_TCONS_00023713	T30C	groupV	5576411	5577525	1114	3	692		0	0	0				0		0	0	0				0
D30C_TCONS_00013803	D30C	groupIV	11242819	11244664	1845	2	1113	T30C_TCONS_00013925	2	1044	0.9380053908355795148247978437	11242819	11244595	1776	1776		0	0	0				0
D30C_TCONS_00085825	D30C	scaffold_416	8869	11433	2564	5	690	T30C_TCONS_00087605	5	649	0.9405797101449275362318840580	8869	11392	2523	2523		0	0	0				0
T30C_TCONS_00038759	T30C	groupX	1208796	1220796	12000	7	2637	D30C_TCONS_00038239	7	2637	1	1208796	1223275	14479	12000		0	0	0				0
D30C_TCONS_00022119	D30C	groupIX	14298682	14304840	6158	10	2698	T30C_TCONS_00022357	10	2693	0.9981467753891771682727946627	14298682	14304835	6153	6153		0	0	0				0
D30C_TCONS_00039743	D30C	groupX	1477424	1481160	3736	5	1176	T30C_TCONS_00040256	5	1176	1	1477424	1481202	3778	3736		0	0	0				0
T30C_TCONS_00014700	T30C	groupIV	19668813	19670007	1194	3	667		0	0	0				0		0	0	0				0
T30C_TCONS_00069961	T30C	groupXVII	10539134	10547528	8394	2	1742	D30C_TCONS_00068867	1	1589	0.9121699196326061997703788749	10539134	10548230	9096	8394		0	0	0				0
T30C_TCONS_00014702	T30C	groupIV	19681457	19683125	1668	5	1091		0	0	0				0		0	0	0				0
T30C_TCONS_00051423	T30C	groupXIII	18429809	18431861	2052	5	1093	D30C_TCONS_00050692	5	1093	1	18429800	18431861	2061	2052		0	0	0				0
D30C_TCONS_00035752	D30C	groupVIII	14309176	14311830	2654	5	894	T30C_TCONS_00036139	5	891	0.9966442953020134228187919463	14309179	14311830	2651	2651		0	0	0				0
